"Date","Price","Open","High","Low","Vol.","Change %"
"21-07-2023","66,684.26","66,907.07","67,190.52","66,533.74","13.25M","-1.31%"
"20-07-2023","67,571.90","67,074.34","67,619.17","66,831.38","8.30M","0.71%"
"19-07-2023","67,097.44","66,905.01","67,171.38","66,703.61","8.48M","0.45%"
"18-07-2023","66,795.14","66,828.96","67,007.02","66,574.47","8.17M","0.31%"
"17-07-2023","66,589.93","66,148.18","66,656.21","66,015.63","9.18M","0.80%"
"14-07-2023","66,060.90","65,775.49","66,159.79","65,610.82","10.76M","0.77%"
"13-07-2023","65,558.89","65,667.07","66,064.21","65,452.15","9.53M","0.25%"
"12-07-2023","65,393.90","65,759.28","65,811.64","65,320.25","7.37M","-0.34%"
"11-07-2023","65,617.84","65,598.65","65,870.59","65,517.57","9.85M","0.42%"
"10-07-2023","65,344.17","65,482.33","65,633.49","65,246.40","14.44M","0.10%"
"07-07-2023","65,280.45","65,559.41","65,898.98","65,175.74","14.28M","-0.77%"
"06-07-2023","65,785.64","65,391.88","65,832.98","65,328.29","8.60M","0.52%"
"05-07-2023","65,446.04","65,493.68","65,584.33","65,256.49","7.42M","-0.05%"
"04-07-2023","65,479.05","65,503.85","65,672.97","65,171.06","6.57M","0.42%"
"03-07-2023","65,205.05","64,836.16","65,300.35","64,836.16","8.79M","0.75%"
"30-06-2023","64,718.56","64,068.44","64,768.58","64,068.44","29.73M","1.26%"
"28-06-2023","63,915.42","63,701.78","64,050.44","63,554.82","6.28M","0.79%"
"27-06-2023","63,416.03","63,153.56","63,466.53","63,055.54","4.77K","0.71%"
"26-06-2023","62,970.00","62,946.50","63,133.62","62,856.15","4.41K","-0.01%"
"23-06-2023","62,979.37","63,124.28","63,240.63","62,874.12","7.29M","-0.41%"
"22-06-2023","63,238.89","63,601.71","63,601.71","63,200.63","7.32M","-0.45%"
"21-06-2023","63,523.15","63,467.46","63,588.31","63,315.62","10.60M","0.31%"
"20-06-2023","63,327.70","63,176.77","63,440.19","62,801.91","5.01M","0.25%"
"19-06-2023","63,168.30","63,474.21","63,574.69","63,047.83","1.35M","-0.34%"
"16-06-2023","63,384.58","62,958.98","63,517.65","62,958.98","5.49K","0.74%"
"15-06-2023","62,917.63","63,153.78","63,310.96","62,871.08","6.70M","-0.49%"
"14-06-2023","63,228.51","63,115.47","63,274.03","63,015.16","11.94K","0.14%"
"13-06-2023","63,143.16","62,779.53","63,177.47","62,779.14","5.54K","0.67%"
"12-06-2023","62,724.71","62,659.98","62,804.89","62,615.20","4.94M","0.16%"
"09-06-2023","62,625.63","62,810.68","62,992.16","62,594.74","41.41M","-0.35%"
"08-06-2023","62,848.64","63,140.17","63,321.40","62,789.73","11.02M","-0.47%"
"07-06-2023","63,142.96","62,917.39","63,196.43","62,841.95","6.89M","0.56%"
"06-06-2023","62,792.88","62,738.35","62,867.95","62,554.21","8.09M","0.01%"
"05-06-2023","62,787.47","62,759.19","62,943.20","62,751.72","6.06M","0.38%"
"02-06-2023","62,547.11","62,601.98","62,716.22","62,381.79","6.33K","0.19%"
"01-06-2023","62,428.54","62,742.63","62,761.42","62,365.75","8.04K","-0.31%"
"31-05-2023","62,622.24","62,839.97","62,876.77","62,401.02","7.29M","-0.55%"
"30-05-2023","62,969.13","62,839.85","63,036.12","62,737.40","7.81M","0.20%"
"29-05-2023","62,846.38","62,801.54","63,026.00","62,801.54","9.63M","0.55%"
"26-05-2023","62,501.69","61,985.36","62,529.83","61,911.61","9.17M","1.02%"
"25-05-2023","61,872.62","61,702.45","61,926.20","61,484.86","8.44K","0.16%"
"24-05-2023","61,773.78","61,834.28","62,154.14","61,708.10","5.89M","-0.34%"
"23-05-2023","61,981.79","62,098.16","62,245.19","61,914.40","8.42M","0.03%"
"22-05-2023","61,963.68","61,579.78","62,044.46","61,579.78","5.57M","0.38%"
"19-05-2023","61,729.68","61,556.25","61,784.61","61,251.70","6.08M","0.48%"
"18-05-2023","61,431.74","61,937.86","61,955.90","61,349.34","8.18M","-0.21%"
"17-05-2023","61,560.64","61,932.32","61,979.94","61,340.10","6.73M","-0.60%"
"16-05-2023","61,932.47","62,474.11","62,475.95","61,847.41","5.88M","-0.66%"
"15-05-2023","62,345.71","62,157.10","62,562.67","61,950.30","6.86M","0.51%"
"12-05-2023","62,027.90","61,857.69","62,110.93","61,578.15","7.04M","0.20%"
"11-05-2023","61,904.52","62,158.10","62,168.22","61,823.07","6.11M","-0.06%"
"10-05-2023","61,940.20","61,843.36","61,974.35","61,572.93","4.76M","0.29%"
"09-05-2023","61,761.33","61,879.68","62,027.51","61,654.94","6.92M","0.00%"
"08-05-2023","61,764.25","61,166.09","61,854.19","61,166.09","7.87M","1.16%"
"05-05-2023","61,054.29","61,163.10","61,585.50","61,002.17","5.59M","-1.13%"
"04-05-2023","61,749.25","61,258.13","61,797.91","61,119.56","8.08M","0.91%"
"03-05-2023","61,193.30","61,274.96","61,274.96","61,024.44","6.06M","-0.26%"
"02-05-2023","61,354.71","61,301.61","61,486.24","61,255.00","6.72M","0.40%"
"28-04-2023","61,112.44","60,721.61","61,209.46","60,507.83","7.17M","0.76%"
"27-04-2023","60,649.38","60,315.56","60,698.31","60,271.49","5.52M","0.58%"
"26-04-2023","60,300.58","60,087.98","60,362.79","59,954.91","4.52M","0.28%"
"25-04-2023","60,130.71","60,201.75","60,268.17","59,968.16","6.54K","0.12%"
"24-04-2023","60,056.10","59,873.71","60,101.64","59,620.11","6.65M","0.67%"
"21-04-2023","59,655.06","59,538.79","59,781.36","59,412.81","5.74M","0.04%"
"20-04-2023","59,632.35","59,586.61","59,836.79","59,489.98","6.59M","0.11%"
"19-04-2023","59,567.80","59,745.89","59,745.89","59,452.72","7.75M","-0.27%"
"18-04-2023","59,727.01","59,991.26","60,113.47","59,579.30","7.33M","-0.31%"
"17-04-2023","59,910.75","60,385.90","60,407.86","59,442.47","15.20M","-0.86%"
"13-04-2023","60,431.00","60,364.41","60,486.91","60,081.43","6.61M","0.06%"
"12-04-2023","60,392.77","60,180.20","60,437.64","60,094.69","5.88M","0.39%"
"11-04-2023","60,157.72","60,028.60","60,267.68","59,919.88","6.87M","0.52%"
"10-04-2023","59,846.51","59,857.17","60,108.40","59,767.90","10.99K","0.02%"
"06-04-2023","59,832.97","59,627.01","59,950.06","59,520.12","4.72M","0.24%"
"05-04-2023","59,689.31","59,094.71","59,747.12","59,094.40","5.02M","0.99%"
